sa_pub2022,ed_id_str,ed_name,deprivation_score
017001001,017001,AGHA,9.41
017002001,017002,BALLINACARRIG,3.21
017002002,017002,BALLINACARRIG,3.21
017002003/01,017002,BALLINACARRIG,3.21
017003001,017003,BALLINTEMPLE,1.94
017003002,017003,BALLINTEMPLE,1.94
017004001,017004,BALLON,-1.02
017004002,017004,BALLON,-1.02
017004003,017004,BALLON,-1.02
017005001,017005,BALLYELLIN,-4.41
017005002,017005,BALLYELLIN,-4.41
017006001,017006,BALLYMOON,4.7
017007001,017007,BALLYMURPHY,1.4
017008002/017008001,017008,BORRIS,-7.43
017008003,017008,BORRIS,-7.43
017008004,017008,BORRIS,-7.43
017009001,017009,BURTON HALL,6.24
017009002,017009,BURTON HALL,6.24
017010001,017010,CARLOW RURAL,-2.21
017010002,017010,CARLOW RURAL,-2.21
017010003,017010,CARLOW RURAL,-2.21
017010004,017010,CARLOW RURAL,-2.21
017010005,017010,CARLOW RURAL,-2.21
017010006/017010007,017010,CARLOW RURAL,-2.21
017010007,017010,CARLOW RURAL,-2.21
017010008,017010,CARLOW RURAL,-2.21
017010009,017010,CARLOW RURAL,-2.21
017010010,017010,CARLOW RURAL,-2.21
017010011,017010,CARLOW RURAL,-2.21
017010012/01,017010,CARLOW RURAL,-2.21
017010012/02,017010,CARLOW RURAL,-2.21
017010013,017010,CARLOW RURAL,-2.21
017010014,017010,CARLOW RURAL,-2.21
017010015,017010,CARLOW RURAL,-2.21
017010016,017010,CARLOW RURAL,-2.21
017010017,017010,CARLOW RURAL,-2.21
017010018,017010,CARLOW RURAL,-2.21
017010019,017010,CARLOW RURAL,-2.21
017010020,017010,CARLOW RURAL,-2.21
017010021,017010,CARLOW RURAL,-2.21
017010022,017010,CARLOW RURAL,-2.21
017010023,017010,CARLOW RURAL,-2.21
017010024,017010,CARLOW RURAL,-2.21
017010025,017010,CARLOW RURAL,-2.21
017010026,017010,CARLOW RURAL,-2.21
017010027,017010,CARLOW RURAL,-2.21
017010028,017010,CARLOW RURAL,-2.21
017010029/017010046,017010,CARLOW RURAL,-2.21
017010030,017010,CARLOW RURAL,-2.21
017010031,017010,CARLOW RURAL,-2.21
017010032,017010,CARLOW RURAL,-2.21
017010033,017010,CARLOW RURAL,-2.21
017010034/01,017010,CARLOW RURAL,-2.21
017010034/02,017010,CARLOW RURAL,-2.21
017010035,017010,CARLOW RURAL,-2.21
017010036,017010,CARLOW RURAL,-2.21
017010037,017010,CARLOW RURAL,-2.21
017010038,017010,CARLOW RURAL,-2.21
017010039,017010,CARLOW RURAL,-2.21
017010040,017010,CARLOW RURAL,-2.21
017010041,017010,CARLOW RURAL,-2.21
017010042,017010,CARLOW RURAL,-2.21
017010043,017010,CARLOW RURAL,-2.21
017010044,017010,CARLOW RURAL,-2.21
017010045,017010,CARLOW RURAL,-2.21
