sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
017001001,4.45,11.75,24.98,11.75,2,homecare,town,61.34,40.2,43.85,26.9
017002001,5.01,4.86,26.74,4.86,1,homecare,town,42.98,35.63,59.27,25.47
017002002,2.42,2.56,28.74,2.56,1,homecare,town,30.82,22.86,46.92,14.46
017002003/01,3.27,3.89,29.58,3.89,1,homecare,town,38.94,32.35,46.83,18.24
017003001,8.14,21.17,39.94,21.17,1,homecare,town,82.44,44.34,43.55,35.9
017003002,5.12,18.54,39.16,18.54,1,homecare,town,78.1,43.93,54.05,42.21
017004001,7.67,16.25,33.7,16.25,1,homecare,town,72.83,59.4,46.45,33.83
017004002,8.53,17.03,33.59,17.03,1,homecare,town,74.77,42.03,59.47,44.47
017004003,7.54,16.21,33.78,16.21,1,homecare,town,72.77,61.73,52.87,38.47
017005001,8.7,19.09,22.31,19.09,4,homecare,county,79.12,58.01,47.03,37.21
017005002,6.78,16.49,19.19,16.49,4,homecare,county,73.35,58.08,56.92,41.75
017006001,5.04,16.64,24.33,16.64,3,homecare,town,73.76,44.26,47.42,34.98
017007001,9.73,18.85,29.69,18.85,2,homecare,county,78.6,45.22,43.83,34.45
017008002/017008001,7.07,18.19,22.71,18.19,3,homecare,county,77.36,48.04,60.6,46.88
017008003,7.37,18.42,22.83,18.42,3,homecare,county,77.84,74.38,70.81,55.12
017008004,7.03,17.68,22.02,17.68,3,homecare,county,76.29,74.64,73.51,56.08
017009001,4.81,6.06,35.09,6.06,1,homecare,town,47.6,34.53,40.77,19.41
017009002,4.7,7.17,35.96,7.17,1,homecare,town,51.09,33.05,31.71,16.2
017010001,3.27,3.17,27.02,3.17,1,homecare,town,35.25,41.75,48.11,16.96
017010002,1.81,1.83,28.93,1.83,1,homecare,town,22.8,40.41,54.41,12.41
017010003,2.61,3.32,32.7,3.32,1,homecare,town,36.12,36.26,68.7,24.81
017010004,0.85,1.93,31.25,1.93,1,homecare,town,24.05,28.83,70.17,16.88
017010005,1.97,1.72,28.64,1.72,1,homecare,town,21.31,48.86,42.75,9.11
017010006/017010007,2.2,2.1,28.59,2.1,1,homecare,town,26.21,18.44,58.33,15.29
017010007,2.51,2.45,28.43,2.45,1,homecare,town,29.9,36.52,31.41,9.39
017010008,1.67,2.17,29.52,2.17,1,homecare,town,26.87,49.11,40.92,11.0
017010009,1.96,2.78,30.11,2.78,1,homecare,town,32.68,55.08,41.61,13.6
017010010,1.77,2.8,30.59,2.8,1,homecare,town,32.78,24.11,43.24,14.17
