sa_2022_code,IHA_code,IHA_operational_name,HR_code,HR_operational_name
017001001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017002001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017002002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017002003/01,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017003001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017003002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017004001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017004002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017004003,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017005001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017005002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017006001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017007001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017008002/017008001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017008003,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017008004,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017009001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017009002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017010001,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017010002,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
017010003,31,HSE Carlow Kilkenny and Tipperary South IHA,3,HSE Dublin and South East HR
