sa_2022_code,town_name,town_name_alt,county,method,distance_km
017001001,Fennagh,,Carlow,nearest_settlement,4.78
017002001,Tinryland,,Carlow,nearest_settlement,2.53
017002002,Carlow,,Carlow,within_settlement,1.78
017002003/01,Tinryland,,Carlow,nearest_settlement,1.68
017003001,Clonegall,,Carlow,nearest_settlement,5.29
017003002,Tullow,,Carlow,nearest_settlement,5.05
017004001,Ballon,,Carlow,within_settlement,0.31
017004002,Ballon,,Carlow,nearest_settlement,1.27
017004003,Ballon,,Carlow,within_settlement,0.23
017005001,Borris,,Carlow,nearest_settlement,2.58
017005002,Borris,,Carlow,nearest_settlement,4.18
017006001,Fennagh,,Carlow,nearest_settlement,4.12
017007001,Borris,,Carlow,nearest_settlement,8.54
017008002/017008001,Borris,,Carlow,nearest_settlement,0.37
017008003,Borris,,Carlow,within_settlement,0.41
017008004,Borris,,Carlow,within_settlement,0.41
017009001,Palatine,,Carlow,within_settlement,0.0
017009002,Palatine,,Carlow,nearest_settlement,1.21
017010001,Carlow,,Carlow,nearest_settlement,3.2
017010002,Carlow,,Carlow,within_settlement,1.26
017010003,Carlow,,Carlow,nearest_settlement,3.22
017010004,Carlow,,Carlow,within_settlement,1.43
017010005,Carlow,,Carlow,within_settlement,1.5
017010006/017010007,Carlow,,Carlow,within_settlement,1.64
017010007,Carlow,,Carlow,within_settlement,1.92
017010008,Carlow,,Carlow,within_settlement,0.99
017010009,Carlow,,Carlow,within_settlement,1.31
017010010,Carlow,,Carlow,within_settlement,1.23
017010011,Carlow,,Carlow,within_settlement,1.55
017010012/01,Carlow,,Carlow,within_settlement,1.72
017010012/02,Carlow,,Carlow,within_settlement,2.02
017010013,Carlow,,Carlow,within_settlement,1.8
017010014,Carlow,,Carlow,within_settlement,2.28
017010015,Kernanstown,,Carlow,within_settlement,0.26
017010016,Carlow,,Carlow,within_settlement,1.0
017010017,Carlow,,Carlow,within_settlement,2.17
017010018,Carlow,,Carlow,within_settlement,1.99
017010019,Carlow,,Carlow,within_settlement,1.49
017010020,Carlow,,Carlow,within_settlement,1.34
017010021,Carlow,,Carlow,within_settlement,1.19
017010022,Carlow,,Carlow,within_settlement,1.73
017010023,Carlow,,Carlow,within_settlement,1.78
017010024,Carlow,,Carlow,within_settlement,1.26
017010025,Carlow,,Carlow,within_settlement,1.71
